,A1,A10,A6,E1,E19P,E19S,E19V,E20P,E20S,E20T,RES,S19,S1M,S1S,S20,S9M,STBY
2020-01-03 13:00:00,2.7442,32.4848,5.4244,0.6715,312.2276,302.9186,45.9498,1211.6561,810.0335,3878.5614,0.6715,46.4834,46.4834,46.4834,46.4834,46.4834,46.4834
2020-01-03 13:30:00,2.731,31.8368,5.2696,0.6716,307.2829,305.3336,46.0306,1217.7901,812.3818,3887.0077,0.6716,54.375,54.375,54.375,54.375,54.375,54.375
2020-01-03 14:00:00,2.697,31.4019,5.4865,0.6653,306.3996,305.3199,45.8163,1222.4991,807.5036,3898.197,0.6653,30.56,30.56,30.56,30.56,30.56,30.56
2020-01-03 14:30:00,2.6694,30.6888,5.9358,0.6745,308.3451,305.4075,45.7473,1220.8138,788.5959,3903.8516,0.6745,61.3195,61.3195,61.3195,61.3195,61.3195,61.3195
2020-01-03 15:00:00,2.6166,29.9335,6.2713,0.6775,306.9507,305.7594,45.3885,1212.852,781.4279,3894.6667,0.6775,27.8616,27.8616,27.8616,27.8616,27.8616,27.8616
2020-01-03 15:30:00,2.5577,29.338,6.8163,0.7122,314.4057,305.7737,45.2448,1220.2632,774.4059,3947.8356,0.7122,67.3013,67.3013,67.3013,67.3013,67.3013,67.3013
2020-01-03 16:00:00,2.5181,28.6273,7.7766,0.7689,322.4284,304.2522,45.2603,1233.4313,763.4786,3990.502,0.7689,43.4822,43.4822,43.4822,43.4822,43.4822,43.4822
2020-01-03 16:30:00,2.4967,28.2018,9.183,0.8516,331.7937,302.7135,45.3309,1235.5964,757.4289,4012.1725,0.8516,54.1445,54.1445,54.1445,54.1445,54.1445,54.1445
2020-01-03 17:00:00,2.4872,27.8302,9.8545,0.9823,337.9482,300.0489,46.2522,1223.8049,747.5135,4045.9628,0.9823,87.6038,87.6038,87.6038,87.6038,87.6038,87.6038
2020-01-03 17:30:00,2.4222,26.6185,9.982,1.0753,337.8554,296.025,45.904,1209.9039,726.0664,4084.7587,1.0753,96.9891,96.9891,96.9891,96.9891,96.9891,96.9891
2020-01-03 18:00:00,2.2952,25.188,9.6407,1.0773,332.011,281.723,44.8725,1200.0145,657.2948,4071.8528,1.0773,102.6941,102.6941,102.6941,102.6941,102.6941,102.6941
2020-01-03 18:30:00,2.2395,24.7396,9.7397,1.1012,325.7025,276.0009,44.1888,1188.6882,645.4389,4057.9067,1.1012,114.425,114.425,114.425,114.425,114.425,114.425
2020-01-03 19:00:00,2.1455,23.7299,9.8139,1.0934,323.294,270.417,43.6162,1177.5978,630.1996,4060.7374,1.0934,99.1695,99.1695,99.1695,99.1695,99.1695,99.1695
2020-01-03 19:30:00,2.0829,22.9948,9.7225,1.0642,317.6948,267.8329,43.2888,1166.5765,622.9621,4018.6368,1.0642,104.0484,104.0484,104.0484,104.0484,104.0484,104.0484
2020-01-03 20:00:00,2.0243,22.1221,9.4835,1.0486,313.386,263.666,42.5774,1153.167,614.9597,3996.5501,1.0486,100.4184,100.4184,100.4184,100.4184,100.4184,100.4184
2020-01-03 20:30:00,1.9617,21.6621,9.3418,1.0354,310.7802,258.0272,41.9975,1145.8296,608.5151,3996.2813,1.0354,102.9488,102.9488,102.9488,102.9488,102.9488,102.9488
2020-01-03 21:00:00,1.8798,20.8934,9.4257,1.0041,304.7213,250.7841,41.2802,1130.8601,597.7581,3996.72,1.0041,106.9886,106.9886,106.9886,106.9886,106.9886,106.9886
